onehot__InternetService_DSL,onehot__InternetService_Fiber optic,onehot__InternetService_No,onehot__Contract_Month-to-month,onehot__Contract_One year,onehot__Contract_Two year,onehot__PaymentMethod_Bank transfer (automatic),onehot__PaymentMethod_Credit card (automatic),onehot__PaymentMethod_Electronic check,onehot__PaymentMethod_Mailed check,power__Charges_Total,quantile__tenure,quantile__Charges_Monthly,remainder__SeniorCitizen,remainder__Partner,remainder__Dependents,remainder__OnlineSecurity,remainder__OnlineBackup,remainder__DeviceProtection,remainder__TechSupport,remainder__StreamingTV,remainder__StreamingMovies,remainder__PaperlessBilling
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23704284097710968,-0.16128127334986397,0.4236859024509531,0,1,1,0,0,0,0,1,0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.614134143550712,-1.1024403670151643,-1.464185967935322,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5149287443498527,-0.9856104168672697,-1.1305174297854546,0,1,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.806492783116805,-5.199337582605575,-0.715217795675016,0,1,1,1,0,0,0,0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.274949925933254,0.6611618742897374,1.3219458408567006,0,1,1,0,1,1,1,1,1,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.1598018513588361,0.6333171952445416,-1.1047469132423215,0,1,1,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.6890965741284948,-0.07157147317761985,-1.7274655664796177,0,0,0,0,0,0,0,0,0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.01944854633223709,1.2867019355423475,-1.6067550689692431,0,1,1,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7227241193658884,0.19570017830120398,0.7506742510456296,0,1,1,0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.29065327173469074,0.4864803604206456,-1.0864560455350234,0,1,0,0,0,0,0,0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6531647392939826,1.077445511147958,2.5610526571667434,0,1,0,1,1,1,1,1,1,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.009587705372305268,1.1400769252954,-1.0509244426943407,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.34849393099390813,-0.24584036910272783,-0.6492247361136366,0,1,1,1,0,1,1,0,0,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.1730500286676961,0.33617787423419104,-0.832006270016473,0,0,1,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1369262990065023,0.6611618742897374,0.6674190444558503,0,1,0,1,0,0,0,1,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2637575821405358,0.7884553079874755,0.87719564638236,0,1,0,1,1,0,0,1,0,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0726194662035695,-0.5220987143284742,-1.1521748037349773,0,1,1,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27080880906297944,-0.043924024540264145,0.18292756400592136,0,1,1,0,0,0,0,0,0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4505523789008532,-1.2585076890467706,-0.4835082603444487,1,0,0,1,0,0,0,0,0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3321246698758932,-0.043924024540264145,0.22262956564382042,0,0,0,0,1,1,1,1,1,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5185164044090794,-0.09927374872396871,-0.785643246431477,0,1,1,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12796343784825376,-0.09927374872396871,-0.1829275640059215,0,1,1,1,1,1,0,0,0,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06681152102794702,0.0025091400448746387,-0.5613270940379926,0,0,1,1,1,1,1,0,0,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3942848968876207,5.19933758270342,0.49780907548583325,0,1,0,0,1,1,1,1,1,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.42938356421911955,-0.4390012085038276,-0.3953418370345449,0,0,0,0,1,0,0,0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8013462924057198,0.15112149093066193,1.0796899285577486,0,0,0,0,0,1,1,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.696046699530294,-5.199337582605575,-0.5969353414048746,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.524984731233458,0.0025091400448746387,0.8337809991251108,0,0,0,0,0,0,1,1,1,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2580233726073706,0.9815403910462731,0.3789773215364033,0,0,0,1,1,1,1,1,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8629158210597843,0.24067139635615026,1.1301126538394222,0,1,1,0,0,0,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.838735566354194,0.26268576068373706,0.761352674464305,1,0,0,0,0,0,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9299671303836932,0.26268576068373706,1.398336600005956,0,0,0,0,1,1,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.14088704626326204,-0.5657384816732594,0.895779818883589,1,0,0,0,1,0,0,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9074407338404813,-0.8373383608517686,-0.4334819661117885,0,1,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2536195591031743,0.027604016757952005,-0.15112149093066193,0,0,0,1,0,0,0,0,1,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6224697862397969,-0.043924024540264145,-1.9858764248174547,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5575160581823717,1.378113758954345,1.4250105407895464,1,1,0,0,1,1,0,1,1,1
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.383209622717243,0.7282403553007382,1.7930105681198825,0,1,0,0,1,1,1,1,1,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6126856471890924,0.7580042333190846,-0.436239926210473,0,1,0,0,0,1,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08469144895839291,-0.370901751289097,0.03915665262318889,0,0,0,0,1,1,0,0,1,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6880337109665706,1.2867019355423475,2.6138720834871045,0,1,0,1,1,1,1,1,1,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9212471836854506,-5.199337582605575,-1.464185967935322,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4163483918954372,-5.199337582605575,1.1140572371477964,0,0,1,0,0,1,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6073370178436686,0.07660354475064655,0.8184346662819096,1,1,1,0,1,0,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04339324700574244,-0.370901751289097,0.7331557124651852,0,1,1,0,0,1,0,1,0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9354135801292893,0.4864803604206456,0.45008014513662276,0,1,0,1,0,1,1,1,1,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9561568656889402,1.525529316273139,-0.2633371584819431,0,1,0,0,1,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8314023108434351,0.09927374872396857,1.6565104934656028,0,0,0,0,1,1,0,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1545823509326478,-0.6119957936995944,-1.3813636807162488,0,1,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4230547808626257,-0.22134370153416588,2.013671405766343,0,1,0,0,1,1,1,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.046834912053823265,0.19570017830120398,-0.6363865203698571,0,1,1,1,1,1,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3768373449984999,-0.07157147317761985,0.5379803848163829,1,0,0,1,0,0,0,1,0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.19227654159137827,0.5120605851503511,-0.6800125783688008,0,0,0,1,0,0,1,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6431791544769396,-0.7782249060548562,0.07660354475064655,0,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2502137583348374,0.8607252382582696,0.5921438965333446,0,1,1,1,1,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10015294487349805,-0.40471680821774897,1.2420605724635014,0,0,0,0,0,1,1,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12419921276842984,-0.07157147317761985,-0.5278584320484621,0,0,1,1,0,0,1,0,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4673678786672169,5.19933758270342,0.8698463380137418,0,1,0,0,0,1,0,1,1,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.31764833982122453,0.35749573205332313,-1.0685216155658543,0,1,1,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.334110057803559,1.077445511147958,0.6394618524871729,0,0,0,0,1,0,0,0,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.169321946913239,-1.2585076890467706,0.5569266030950195,0,0,0,1,1,0,1,0,0,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7285583113925621,0.35749573205332313,0.12958231367213702,1,0,0,0,0,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.18470288418719835,-0.5220987143284742,0.6642872083307605,0,0,0,0,1,0,0,1,0,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6073936341780022,1.2867019355423475,1.8601212782696361,1,1,0,0,1,1,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.497288519126979,-5.199337582605575,0.31764959351109384,0,0,0,0,1,0,0,0,0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5777421629378878,-1.1024403670151643,-1.464185967935322,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.148053974367714,-1.2585076890467706,0.7023154143045922,0,1,0,1,1,0,0,1,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4534458171683772,-0.043924024540264145,0.5613270940379927,1,0,0,0,1,1,0,0,0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6431791544769396,-0.07157147317761985,-1.1521748037349773,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9085196250151631,0.24067139635615026,1.2312798427797058,1,1,0,0,0,0,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4394455438308408,-0.09927374872396871,0.8735150946146939,0,0,0,0,0,0,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5410704293568107,-5.199337582605575,0.026348991391809306,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.12067421547646488,-0.19442151365869756,-0.36285029751352643,0,1,0,1,0,0,1,0,0,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.732369460346141,5.19933758270342,2.3475131850375193,0,0,0,1,1,1,1,1,1,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.6910809261816466,-0.12958231367213702,-1.7861555612610769,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1053033405629069,-0.2730890226527413,0.5745945104459376,0,1,0,0,0,0,0,1,0,1
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.23600100453414571,1.525529316273139,-0.7987689042511946,0,1,1,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8442146002386057,0.09927374872396857,1.8532210089187868,1,1,0,1,0,1,1,1,1,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6095279015004467,-1.1024403670151643,-1.3813636807162488,0,0,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9252528884746044,0.4334819661117883,0.5810186344829061,0,1,1,0,1,0,0,1,0,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4802642746090746,0.8995338605921865,1.6925660884792924,0,1,1,1,1,1,1,1,1,0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.7060818637377833,1.525529316273139,2.698615138829356,0,0,0,1,1,1,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5432223768725175,-0.7782249060548562,0.6150245032050714,1,1,0,0,0,0,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.28888970682261444,-0.043924024540264145,0.10305676609118156,0,1,1,1,0,0,0,0,0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.7779914890163109,-1.2585076890467706,-1.2982710982714525,0,0,0,0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.33353937180042764,-0.09927374872396871,-0.6869068122489088,0,0,1,1,0,0,1,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3449178413261957,0.027604016757952005,0.12452336608306745,1,0,0,1,1,0,0,1,1,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.3749228604247579,0.7580042333190846,1.5057470057123419,1,1,0,1,1,0,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3251340181654406,-0.6119957936995944,0.5063476573610789,0,1,0,0,0,0,0,0,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5153776541935154,-0.6642872083307604,0.1523905895074676,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6854421025676092,-0.8373383608517686,0.45008014513662276,1,1,0,0,0,0,0,0,1,1
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.310692141125809,1.2867019355423475,0.4556403137378794,0,1,1,1,0,1,0,0,0,0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4210856444558386,1.077445511147958,1.2741958903668231,1,0,0,1,0,0,0,1,1,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6800982084956175,1.378113758954345,2.4629790552892312,0,0,0,1,1,1,1,1,1,0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.4753963093394384,-0.09927374872396871,-0.802225683044881,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3182984282244284,0.40607882375069193,-2.2258232024427875,0,1,1,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.347195799089003,0.6333171952445416,2.3130131950841752,0,1,0,1,1,1,1,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11428563118194082,-0.40471680821774897,1.4605311820132307,0,0,0,1,0,1,1,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1303699909401557,-0.5220987143284742,-1.9858764248174547,0,1,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.15450961668894464,-0.19442151365869756,-0.4334819661117885,0,0,0,0,1,0,0,1,1,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9305612841524865,1.378113758954345,-0.26626209963610253,0,1,0,0,1,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4667835361895518,0.027604016757952005,0.445919140442015,0,0,0,1,1,1,0,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.526787079220659,1.525529316273139,1.184446818906046,0,1,1,0,1,0,0,1,1,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5724718051208865,0.027604016757952005,-1.5135889315270525,0,1,0,0,0,0,0,0,0,0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.819988545205298,-0.9856104168672697,0.4766187439234876,0,1,1,0,1,1,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.205510707042814,-1.2585076890467706,0.5394308637341482,0,0,0,0,0,1,0,0,1,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0831530968984517,-0.6119957936995944,-1.3813636807162488,0,0,1,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9778356137576002,-0.9856104168672697,0.16128127334986397,1,0,0,1,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5071962825450597,0.5701609063769159,-0.49780907548583325,1,0,0,1,0,0,0,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0754461745198969,-0.8995338605921868,-0.5124889887030472,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.210211537673049,-0.7184619962535121,-1.2286069212987556,0,1,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4579718706104563,-1.2585076890467706,-0.5969353414048746,1,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.050954545109151,-1.1024403670151643,0.445919140442015,0,0,0,0,1,0,0,0,1,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.12568732839113936,-0.2730890226527413,-0.23938016267175266,0,0,0,0,0,1,1,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.126200571627211,5.19933758270342,-0.04769168375857986,0,0,0,1,1,1,1,0,0,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4163582169656126,0.9377977680303106,-0.6654130343439326,1,1,0,1,0,0,1,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8684711643674977,1.077445511147958,-0.27496699370066174,0,1,0,1,1,1,1,1,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.517033559574815,-5.199337582605575,0.18803291253891433,0,0,0,0,0,0,1,0,0,1
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0958305280600802,0.8231716109385887,0.2587919156837877,0,0,0,0,0,1,0,0,0,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.37784956716461493,0.45842567858476485,-0.5613270940379926,0,1,1,1,0,1,0,0,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4737945622823614,-5.199337582605575,0.526416867571128,0,0,0,0,0,1,0,1,0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04467220199231797,-0.40471680821774897,0.7976187644934245,0,0,0,0,0,0,0,1,1,1
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2268071236465405,0.5120605851503511,1.8245559358037484,0,1,0,1,1,0,1,1,1,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.398293271769527,5.19933758270342,0.6611618742897374,0,1,1,1,1,1,1,1,1,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8832368999409611,0.40607882375069193,0.4417658421101638,0,0,0,1,1,0,0,0,0,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.4649922841835343,5.19933758270342,0.7839871885241022,0,1,1,1,1,1,1,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.923163036121662,-5.199337582605575,-1.6067550689692431,0,1,1,0,0,0,0,0,0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6572777122060478,-5.199337582605575,-0.4473052807811118,0,0,0,0,0,0,0,0,0,1
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.3634958791554335,1.1400769252954,0.7794625197807271,1,0,0,1,1,0,1,1,0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.888931254006114,0.45842567858476485,0.2854317261809314,0,1,1,0,1,0,1,1,1,0
